"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 10:35:27 GMT 2023","Wed Jun 21 10:35:27 GMT 2023","296","tests","test_context_menu","TestContextMenu","","","Context menu test",""
"passed","Wed Jun 21 10:35:23 GMT 2023","Wed Jun 21 10:35:23 GMT 2023","383","tests","test_api_post_user","","","","API post user test",""
"passed","Wed Jun 21 10:35:26 GMT 2023","Wed Jun 21 10:35:26 GMT 2023","462","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
"passed","Wed Jun 21 10:35:23 GMT 2023","Wed Jun 21 10:35:23 GMT 2023","0","tests","test_api_request","","","","API get user test",""
"passed","Wed Jun 21 10:35:30 GMT 2023","Wed Jun 21 10:35:30 GMT 2023","100","tests","test_list","TestSelect","","","Checkbox testing",""
"passed","Wed Jun 21 10:35:23 GMT 2023","Wed Jun 21 10:35:23 GMT 2023","356","tests","test_api_auth","","","","API post test with authentication",""
"passed","Wed Jun 21 10:35:24 GMT 2023","Wed Jun 21 10:35:24 GMT 2023","25","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
"passed","Wed Jun 21 10:35:29 GMT 2023","Wed Jun 21 10:35:29 GMT 2023","170","tests","test_disappearing_elements","TestContextMenu","","","Disappearing Elements test",""
"passed","Wed Jun 21 10:35:16 GMT 2023","Wed Jun 21 10:35:21 GMT 2023","5381","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
